series_name,format,monster_real,monster_amount,suspects_amount,motive,monster_gender_group
Warner Home Video,TV Series,False,1,4,Competition,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,2,2,Smuggling,Both
Scooby-Doo Mystery Incorporated,TV Series,False,1,2,Abduction,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,1,4,Competition,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,1,3,Theft,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,1,6,Competition,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,1,5,Natural Resource,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,1,3,Treasure,Woman/Women
Scooby-Doo Mystery Incorporated,TV Series,False,1,3,Competition,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,1,3,Competition,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,True,2,2,Theft,Both
Scooby-Doo Mystery Incorporated,TV Series,False,1,2,Preservation,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,1,1,Theft,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,1,0,Theft,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,1,3,Theft,Man/Men
Warner Home Video,Movie,False,4,9,Theft,Man/Men
Warner Home Video,TV Series,False,1,5,Competition,Man/Men
Warner Home Video,Movie,False,1,8,Competition,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,3,0,Theft,Both
Scooby-Doo Mystery Incorporated,TV Series,False,2,4,Theft,Both
Scooby-Doo Mystery Incorporated,TV Series,False,4,2,Competition,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,1,3,Competition,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,1,2,Competition,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,2,0,Theft,Both
Scooby-Doo Mystery Incorporated,TV Series,False,1,2,Preservation,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,False,1,2,Competition,Woman/Women
Scooby-Doo Mystery Incorporated,TV Series,False,1,1,Treasure,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,True,1,0,Conquer,Man/Men
Scooby-Doo Mystery Incorporated,TV Series,True,2,0,Conquer,Man/Men
Warner Home Video,Movie,False,2,5,Treasure,Man/Men
Warner Home Video,Movie,False,1,19,Theft,Man/Men
Warner Home Video,TV Series,False,1,9,Theft,Man/Men
Warner Home Video,TV Series,False,1,4,Competition,Man/Men
Warner Home Video,Movie,False,1,9,Competition,Man/Men
Warner Home Video,TV Series,False,1,5,Theft,Man/Men
Warner Home Video,Movie,False,2,6,Competition,Man/Men
Warner Home Video,Movie,False,1,8,Competition,Man/Men
Warner Home Video,TV Series,False,1,4,Theft,Man/Men
Warner Home Video,Movie,True,4,6,Theft,Both
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Treasure,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,2,4,Treasure,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Theft,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,2,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,5,Theft,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Competition,Woman/Women
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,2,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Inheritance,Man/Men
Lego,TV Series,False,1,6,Treasure,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Theft,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,2,Theft,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Theft,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Preservation,Man/Men
Lego,Movie,False,3,5,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,2,4,Natural Resource,Man/Men
Warner Home Video,Movie,False,1,20,Competition,Man/Men
Warner Home Video,Movie,False,1,15,Theft,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Competition,Woman/Women
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Treasure,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,3,6,Natural Resource,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Theft,Man/Men
Lego,Movie,False,2,9,Treasure,Both
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Theft,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Theft,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,8,4,Theft,Both
"Be Cool, Scooby-Doo!",TV Series,False,2,3,Competition,Both
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,5,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,4,4,Theft,Both
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Natural Resource,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,2,Competition,Woman/Women
"Be Cool, Scooby-Doo!",TV Series,False,1,5,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Competition,Woman/Women
Warner Home Video,Movie,False,1,15,Conquer,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Competition,Woman/Women
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Theft,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,5,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Theft,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,4,Theft,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Competition,Man/Men
"Be Cool, Scooby-Doo!",TV Series,False,1,3,Treasure,Man/Men
Supernatural,Crossover,True,2,6,Competition,Man/Men
Warner Home Video,Movie,False,1,11,Competition,Man/Men
Warner Home Video,Movie,False,1,4,Treasure,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,5,Competition,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,2,Treasure,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,1,Competition,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,3,Theft,Man/Men
Warner Home Video,Movie,False,5,12,Treasure,Both
Scooby-Doo and Guess Who?,TV Series,False,1,3,Theft,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,2,Treasure,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,2,3,Entertainment,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,4,Natural Resource,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,3,Competition,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,2,4,Natural Resource,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,5,Theft,Woman/Women
Scooby-Doo and Guess Who?,TV Series,False,1,4,Competition,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,3,Theft,Man/Men
Teen Titans,Crossover,False,1,0,Competition,Man/Men
Warner Bros. Picture,Movie (Theatrical),False,4,5,Treasure,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,2,Inheritance,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,3,Theft,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,12,1,Competition,Both
Scooby-Doo and Guess Who?,TV Series,False,1,4,Inheritance,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,4,Treasure,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,3,Competition,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,6,Competition,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,2,Competition,Woman/Women
Scooby-Doo and Guess Who?,TV Series,False,1,3,Theft,Woman/Women
Scooby-Doo and Guess Who?,TV Series,False,2,0,Simulation,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,3,Competition,Woman/Women
Scooby-Doo and Guess Who?,TV Series,False,1,4,Competition,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,4,Theft,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,3,Treasure,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,3,Treasure,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,4,Natural Resource,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,4,Competition,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,5,Theft,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,3,Competition,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,5,Theft,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,4,Natural Resource,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,4,Treasure,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,2,Treasure,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,3,Treasure,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,3,Entertainment,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,4,6,Theft,Man/Men
Warner Home Video,Movie,False,2,5,Natural Resource,Man/Men
Warner Home Video,Movie,False,2,8,Competition,Both
Scooby-Doo and Guess Who?,TV Series,False,1,9,Treasure,Man/Men
Scooby-Doo and Guess Who?,TV Series,False,1,2,Competition,Man/Men
